"Time (s)","Sound pressure level (dB)"
7.272927954E1,-5.226731151E1
7.283706829E1,-5.374421612E1
7.294562392E1,-5.477084037E1
7.305354112E1,-5.490048157E1
7.316206596E1,-5.584168770E1
7.327028850E1,-5.601876835E1
7.337916654E1,-5.713200570E1
7.348692246E1,-5.755295104E1
7.359581646E1,-5.783748641E1
7.370370042E1,-5.889764565E1
7.381232729E1,-5.848582916E1
7.392033654E1,-6.063965367E1
7.402918104E1,-6.007601494E1
7.413693646E1,-6.150941817E1
7.424554087E1,-6.228176610E1
7.435353375E1,-6.326297190E1
7.445722467E1,-6.357077354E1
7.456593029E1,-6.481121905E1
7.467030592E1,-6.443538347E1
7.477907333E1,-6.650115381E1
7.488686750E1,-6.488791663E1
7.499575862E1,-6.735850639E1
7.510351225E1,-6.699505268E1
7.521230604E1,-6.771150656E1
7.532029892E1,-6.844073920E1
7.542905250E1,-6.818038319E1
7.553686612E1,-7.000149237E1
7.564567733E1,-6.904585180E1
7.575340250E1,-6.903125391E1
7.586212712E1,-7.137738847E1
7.597007771E1,-7.050674493E1
7.607875596E1,-7.248891867E1
7.618607650E1,-7.315984200E1
7.629490708E1,-7.133340712E1
7.640344687E1,-7.274518429E1
7.651214379E1,-7.216831442E1
7.662010288E1,-7.444187118E1
7.672916088E1,-7.417963948E1
7.683678446E1,-7.180641253E1
7.694261321E1,-7.169105787E1
7.705112575E1,-7.416794895E1
7.716012742E1,-7.225363680E1
7.726874158E1,-7.275176072E1
7.737738329E1,-7.306334762E1
7.748619413E1,-7.427414976E1
7.759497667E1,-7.129543468E1
7.770346571E1,-7.264317677E1
7.781220983E1,-7.341177566E1
7.792016425E1,-7.379541721E1
7.802913258E1,-7.556105951E1
7.813675817E1,-7.482925136E1
7.824561692E1,-7.512172362E1
7.835327596E1,-7.646803407E1
7.846186687E1,-7.546318262E1
7.857005442E1,-7.450703332E1
7.867409117E1,-7.549938264E1
7.878284083E1,-7.340898493E1
7.889164787E1,-7.381291877E1
7.899598383E1,-7.540209641E1
7.910332867E1,-7.493494633E1
7.921214479E1,-7.537532995E1
7.931999929E1,-7.391207760E1
7.942867858E1,-7.408670682E1
7.953665458E1,-7.568038348E1
7.964523758E1,-7.672037616E1
7.975329983E1,-7.595566900E1
7.986184050E1,-7.464443092E1
7.996993258E1,-7.593339069E1
8.007867933E1,-7.703527242E1
8.018658192E1,-7.419359586E1
8.029550596E1,-6.813473038E1
8.040331296E1,-7.323641574E1
8.050768512E1,-7.102701900E1
8.061634129E1,-3.488912330E1
8.072786737E1,-4.378137884E1
8.083668846E1,-4.648625176E1
8.094519450E1,-4.801789456E1
8.105311950E1,-4.872300299E1
8.116159550E1,-4.913130611E1
8.126943667E1,-4.992260204E1
8.137603617E1,-5.046899324E1
8.147981925E1,-5.063142514E1
8.158654096E1,-5.168247764E1
8.169515983E1,-5.142593638E1
8.180330358E1,-5.265461600E1
8.191203833E1,-5.289551210E1
8.201989821E1,-5.348161366E1
8.212489337E1,-5.427058625E1
8.223271379E1,-5.442502620E1
8.233664571E1,-5.529635368E1
8.244541671E1,-5.563445642E1
8.255295008E1,-5.614462481E1
8.266170929E1,-5.757908539E1
8.276964479E1,-5.704122321E1
8.287847292E1,-5.820382775E1
8.298649525E1,-5.864898941E1
8.309535083E1,-5.865911726E1
8.320311537E1,-6.017616146E1
8.331179033E1,-5.966332189E1
8.341974417E1,-6.119884994E1
8.352860138E1,-6.105060408E1
8.363646537E1,-6.216107532E1
8.374510471E1,-6.214829092E1
8.385292996E1,-6.341552683E1
8.395963062E1,-6.401951202E1
8.406819654E1,-6.553470661E1
